country,year,premium
CH,2024,1.6927253228473123
CY,2005,1.7170489968827432
CY,2006,1.663646170442287
CY,2007,1.7041522491349481
CY,2008,1.6907937753367333
CY,2009,1.6282505188621659
CY,2010,1.7100875231585
CY,2011,1.6119593649248738
CY,2012,1.69722640562249
CY,2013,1.7293405114401077
CY,2014,1.828355470756586
CY,2015,1.8515051246872731
CY,2016,1.813372461928934
CY,2017,1.795422590220278
CY,2018,1.7240756081030197
CY,2019,1.8174570727718724
CY,2020,1.6789579158316634
CY,2021,1.6142407057340895
CY,2022,1.6326543482373714
CY,2023,1.6025087514585765
CY,2024,1.556590518811469
CY,2025,1.6411863629414463
CZ,2005,1.8284313725490196
CZ,2006,1.8242591316333563
CZ,2007,1.7720573389864729
CZ,2008,1.7279899587591896
CZ,2009,1.8384099908620164
CZ,2010,1.8549824896529767
CZ,2011,1.8515992117629225
CZ,2012,1.797893538286365
CZ,2013,1.8297872340425532
CZ,2014,1.8014099295035249
CZ,2015,1.8207890983996198
CZ,2016,1.799083382613838
CZ,2017,1.7268454520320708
CZ,2018,1.6947248864209994
CZ,2019,1.6539059032401242
CZ,2020,1.6565425421260662
CZ,2021,1.6691077875193399
CZ,2022,1.67859098375616
CZ,2023,1.713047867418188
CZ,2024,1.646307355053292
CZ,2025,1.6572376857509241
DE,2005,1.402605711626825
DE,2006,1.511383860079779
DE,2007,1.542681837135879
DE,2008,1.5428913192071088
DE,2009,1.648721399730821
DE,2010,1.6710348475054357
DE,2011,1.620681619574716
DE,2012,1.6238484569322893
DE,2013,1.6338591678097851
DE,2014,1.7352905642140872
DE,2015,1.7621142824060674
DE,2016,1.7418932756855159
DE,2017,1.711452405944423
DE,2018,1.685256277235941
DE,2019,1.6857230674658061
DE,2020,1.6667776852622815
DE,2021,1.752789169643251
DE,2022,1.713333925557431
DE,2023,1.7290496897032128
DE,2024,1.7398294762484774
DE,2025,1.7613847675568743
DK,2003,1.2876093965914326
DK,2004,1.3156692766592095
DK,2005,1.3070975861913965
DK,2006,1.2968102282148624
